seed,dataset,method,training_fraction,micro_f1,macro_f1,example_f1,hamming_loss,average_precision,label_ranking_loss,subset_accuracy,hamming_accuracy,precision_at_1,precision_at_3,precision_at_5,elapsed_seconds
24529,synthetic_image_multilabel,cgmvae_no_mixture,0.5,0.9908814589665653,0.9908677380643024,0.9886666666666667,0.006,0.9998029601921062,0.0,0.968,0.994,1.0,0.652,0.39120000000000005,0.6164
24529,synthetic_image_multilabel,cgmvae_no_mixture,1.0,0.9974502804691484,0.9976115683314534,0.9966666666666667,0.0016666666666666668,1.0,0.0,0.99,0.9983333333333333,1.0,0.652,0.39120000000000005,1.161
24530,synthetic_multilabel,one_vs_rest_logistic,0.1,0.43775100401606426,0.32666800546992386,0.4190017649017649,0.28,0.38799752191855025,0.2575353956228956,0.032,0.72,0.596,0.4726666666666667,0.40560000000000007,0.0586
24530,synthetic_multilabel,one_vs_rest_logistic,0.5,0.49016446307642697,0.41105388894515915,0.48560346320346315,0.2635,0.4427105391674013,0.21184826238576238,0.036,0.7364999999999999,0.664,0.5206666666666667,0.43839999999999996,0.0662
24530,synthetic_multilabel,one_vs_rest_logistic,1.0,0.5147766323024054,0.41720051328716007,0.526453391053391,0.23533333333333334,0.49370730264407386,0.1763174362674363,0.066,0.7646666666666666,0.752,0.5606666666666668,0.4608,0.0866
24530,synthetic_multilabel,mlp_multilabel,0.1,0.2524177949709865,0.15987348844539664,0.24234285714285717,0.25766666666666665,0.37046435349306434,0.2571678932178932,0.046,0.7423333333333333,0.576,0.4766666666666666,0.4176,0.1156
24530,synthetic_multilabel,mlp_multilabel,0.5,0.5159972770592239,0.3980461638408513,0.525301443001443,0.237,0.4816362172808391,0.19430595238095236,0.056,0.763,0.748,0.5446666666666666,0.44720000000000004,0.3099
24530,synthetic_multilabel,mlp_multilabel,1.0,0.5256588072122053,0.4316771307520992,0.5498239538239539,0.228,0.5050246639661008,0.18394552669552666,0.1,0.772,0.752,0.5493333333333333,0.45480000000000004,0.9618
24530,synthetic_multilabel,vae_multilabel,0.1,0.14492753623188406,0.05722502991556155,0.12589365079365078,0.2753333333333333,0.28902400541719947,0.3063692821067821,0.022,0.7246666666666667,0.444,0.42133333333333334,0.3936,0.2281
24530,synthetic_multilabel,vae_multilabel,0.5,0.33234672304439744,0.21170304425978012,0.326437518037518,0.26316666666666666,0.37575816020943953,0.26034535233285233,0.052,0.7368333333333333,0.574,0.4813333333333333,0.42560000000000003,0.5066
24530,synthetic_multilabel,vae_multilabel,1.0,0.46914422093419705,0.36432027115383686,0.48009140859140853,0.2595,0.4292707505190307,0.2615646945646946,0.058,0.7404999999999999,0.666,0.494,0.406,1.331
24530,synthetic_multilabel,cgmvae_full,0.1,0.0,0.0,0.0,0.272,0.2796676974961046,0.3136425324675325,0.0,0.728,0.422,0.39933333333333326,0.3864,0.2459
24530,synthetic_multilabel,cgmvae_full,0.5,0.0,0.0,0.0,0.272,0.284595623224333,0.30572496993746995,0.0,0.728,0.438,0.41133333333333333,0.392,0.9339
24530,synthetic_multilabel,cgmvae_full,1.0,0.0,0.0,0.0,0.272,0.28334419656760007,0.30560753968253973,0.0,0.728,0.434,0.42533333333333323,0.3948000000000001,2.1549
24530,synthetic_multilabel,cgmvae_no_contrastive,0.1,0.2026266416510319,0.05027932960893855,0.19842539682539684,0.2833333333333333,0.2814195211098947,0.34116351611351614,0.028,0.7166666666666667,0.432,0.3633333333333334,0.3588,0.2443
24530,synthetic_multilabel,cgmvae_no_contrastive,0.5,0.0,0.0,0.0,0.272,0.2805146142130515,0.3072174062049062,0.0,0.728,0.432,0.4086666666666666,0.3856,0.9232
24530,synthetic_multilabel,cgmvae_no_contrastive,1.0,0.0,0.0,0.0,0.272,0.2711702576821435,0.30791319745069745,0.0,0.728,0.432,0.4073333333333333,0.39120000000000005,1.7201
24530,synthetic_multilabel,cgmvae_no_mixture,0.1,0.001224739742804654,0.001736111111111111,0.0006666666666666666,0.2718333333333333,0.30865306460586844,0.29433325517075515,0.0,0.7281666666666666,0.442,0.426,0.38880000000000003,0.1602
