dataset,method,training_fraction,runs,micro_f1_mean,micro_f1_std,macro_f1_mean,macro_f1_std,example_f1_mean,example_f1_std,hamming_loss_mean,hamming_loss_std,average_precision_mean,average_precision_std,label_ranking_loss_mean,label_ranking_loss_std,subset_accuracy_mean,subset_accuracy_std,hamming_accuracy_mean,hamming_accuracy_std,precision_at_1_mean,precision_at_1_std,precision_at_3_mean,precision_at_3_std,precision_at_5_mean,precision_at_5_std,elapsed_seconds_mean,elapsed_seconds_std
synthetic_image_multilabel,vae_multilabel,0.5,3,0.9974753696409633,0.0012205195345295354,0.9975157715813799,0.0011873285936572628,0.9976444444444444,0.001090475035234222,0.0016666666666666668,0.000816496580927726,0.9999787344322896,3.0074054267648887e-05,0.0,0.0,0.9899999999999999,0.00489897948556636,0.9983333333333332,0.0008164965809277268,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,1.0316666666666665,0.09694841698323677
synthetic_image_multilabel,vae_multilabel,1.0,3,0.9981327196991322,0.001281012125448246,0.9981139978927839,0.0013089735035956408,0.9980888888888889,0.0013124287164651795,0.0012222222222222224,0.0008314794192830981,0.9999890395942881,1.0888523298263313e-05,0.0,0.0,0.9926666666666666,0.004988876515698593,0.9987777777777778,0.0008314794192830955,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,2.1901,0.29726958584198737
synthetic_image_multilabel,cgmvae_full,0.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.32922222222222225,0.0028846122190549304,0.35649169491758664,0.011082992993553252,0.4853759259259259,0.009317621622620828,0.0,0.0,0.6707777777777778,0.0028846122190548857,0.3539999999999999,0.026280537792569364,0.3386666666666666,0.005887840577551903,0.33106666666666673,0.0026398653164297747,1.8033333333333335,0.2368441447215634
synthetic_image_multilabel,cgmvae_full,0.5,3,0.03023167784453223,0.03321457075783461,0.029437277285780824,0.03182446401940093,0.025444444444444447,0.027107923309852407,0.3247777777777778,0.0028327886186626547,0.68570999388506,0.02320371174458582,0.15297037037037034,0.018386110528239855,0.017333333333333336,0.016759740119968714,0.6752222222222222,0.0028327886186626365,0.8260000000000001,0.029439202887759478,0.517111111111111,0.016691832851745785,0.38573333333333343,0.0061651349449050276,6.440666666666666,0.20446783501459473
synthetic_image_multilabel,cgmvae_full,1.0,3,0.3364086681747629,0.04794065835624381,0.32268730674301366,0.04353051460777425,0.30831111111111115,0.03902004549737588,0.26599999999999996,0.006434858771364556,0.8253480004114483,0.017609605414766288,0.0722425925925926,0.00954940837300136,0.18733333333333335,0.011813363431112897,0.734,0.006434858771364577,0.9333333333333335,0.007363574011458137,0.5833333333333334,0.01309792180292568,0.39093333333333335,0.0024729649321321647,13.0347,0.7221396956268228
synthetic_image_multilabel,cgmvae_no_contrastive,0.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.32922222222222225,0.0028846122190549304,0.34826854190153705,0.009093166921923069,0.49188518518518515,0.004312228600235151,0.0,0.0,0.6707777777777778,0.0028846122190548857,0.3273333333333333,0.02357022603955158,0.33466666666666667,0.006622073078111715,0.33293333333333336,0.004434210439550926,1.3362,0.04860294915606112
synthetic_image_multilabel,cgmvae_no_contrastive,0.5,3,0.06850920553048213,0.09123231869431285,0.04395573573980299,0.0562364216693108,0.05477777777777778,0.07372839712898875,0.32255555555555554,0.005839414819320392,0.419322488708002,0.026529904690786952,0.4039,0.04013331359459753,0.02,0.026882460204874607,0.6774444444444444,0.005839414819320388,0.44133333333333336,0.03940671121635106,0.38399999999999995,0.02511012780768983,0.3473333333333333,0.012036980056845179,5.095766666666666,0.21013121826346706
synthetic_image_multilabel,cgmvae_no_contrastive,1.0,3,0.3964032724758761,0.1319009432196533,0.33330120999702983,0.1599088684996137,0.3418666666666666,0.1377599307437345,0.2712222222222222,0.015996141510060367,0.5571363974724428,0.056877163186602436,0.2637851851851852,0.04425204311233448,0.084,0.025455844122715707,0.7287777777777777,0.01599614151006037,0.6200000000000001,0.044899888641287286,0.4608888888888889,0.035160303092838185,0.3756,0.003766519171153472,10.141133333333334,0.26309148387754555
synthetic_image_multilabel,cgmvae_no_mixture,0.1,3,0.9285890436159482,0.026224117933968484,0.9272560392562351,0.025945044341668805,0.9338222222222222,0.026481039105344134,0.044000000000000004,0.015393601364299483,0.9890094726850659,0.0066405508941239835,0.0009351851851851852,0.0006888042560517514,0.7906666666666666,0.0590668171555645,0.9560000000000001,0.015393601364299497,1.0,0.0,0.656888888888889,0.006718318425702669,0.3950666666666667,0.0034615346628658968,0.7514333333333333,0.029766237398920408
synthetic_image_multilabel,cgmvae_no_mixture,0.5,3,0.9845320989741806,0.004557834893019058,0.9843898511759269,0.004607092027651723,0.9807269841269841,0.005043438420465965,0.010333333333333333,0.003067149720409391,0.9994968348907642,0.00024122333437584902,0.0,0.0,0.9386666666666666,0.018856180831641232,0.9896666666666666,0.0030671497204094195,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,2.868733333333333,0.07871477342631159
synthetic_image_multilabel,cgmvae_no_mixture,1.0,3,0.9946193349571675,0.001355007986927561,0.9946495512082381,0.0013445719796864764,0.9937492063492064,0.001355871492122073,0.0035555555555555553,0.00087488976377909,0.9996525091661965,0.0004482460599973276,0.0,0.0,0.9793333333333333,0.006182412330330475,0.9964444444444446,0.0008748897637790972,1.0,0.0,0.6584444444444445,0.005769224438109868,0.3950666666666667,0.0034615346628658968,5.670133333333333,0.15406614019814846
