experiment,dataset,domain,condition,method,target_dim,seed,elapsed_seconds,distance_rank_correlation,knn_overlap,cosine_similarity_correlation,estimated_flops,reconstruction_mse,relative_squared_error,downstream_accuracy
image_clean,mnist_clean_reproduction,image,clean,srp,700,24533,0.022962,0.9781937480746091,0.869857142857143,0.9780847879205117,1646400000.0,0.11867395043373108,1.045881748199463,0.8683333333333333
image_clean,mnist_clean_reproduction,image,clean,pca,10,24533,0.011859,0.8444174101887275,0.5698571428571428,0.6655422846261752,23520000.0,0.0346204936504364,0.3051128089427948,0.7633333333333333
image_clean,mnist_clean_reproduction,image,clean,pca,25,24533,0.016823,0.947192131776981,0.7531428571428572,0.7559588236728094,58800000.0,0.020566780120134354,0.1812564581632614,0.88
image_clean,mnist_clean_reproduction,image,clean,pca,50,24533,0.026269,0.9814710727794419,0.8612857142857144,0.7556299834278231,117600000.0,0.01151389442384243,0.10147275030612946,0.8933333333333333
image_clean,mnist_clean_reproduction,image,clean,pca,100,24533,0.034722,0.9965807572862972,0.9282857142857144,0.7641034099244055,235200000.0,0.005478968843817711,0.04828653112053871,0.9016666666666666
image_clean,mnist_clean_reproduction,image,clean,pca,200,24533,0.058891,0.9993759545991876,0.97,0.7592914926303352,470400000.0,0.0020481592509895563,0.01805057004094124,0.8983333333333333
image_clean,mnist_clean_reproduction,image,clean,pca,400,24533,0.12454,0.9999504142000082,0.9937142857142856,0.7693102700716645,940800000.0,0.0002178448485210538,0.001919881789945066,0.8816666666666667
image_clean,mnist_clean_reproduction,image,clean,pca,700,24533,0.090886,0.9999999945584197,1.0,0.7616518256011325,1646400000.0,2.1687877188591997e-12,1.9113677654503114e-11,0.8783333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,10,24533,0.019289,0.6408675623667226,0.2918571428571428,0.536852936486345,23520000.0,0.06974104791879654,0.6146326661109924,0.7383333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,25,24533,0.019139,0.7909027385035355,0.5172857142857143,0.7535448861768526,23520000.0,0.051444161683321,0.4533809721469879,0.875
image_clean,mnist_clean_reproduction,image,clean,dct,50,24533,0.019363,0.9007266241898144,0.6529999999999999,0.883539643160778,23520000.0,0.03516849875450134,0.30994242429733276,0.9083333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,100,24533,0.02014,0.9681976871781728,0.8018571428571429,0.9673263567681316,23520000.0,0.018174614757299423,0.1601741462945938,0.9033333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,200,24533,0.021108,0.9936762081796945,0.9015714285714288,0.9943343582042818,23520000.0,0.007422052789479494,0.06541106849908829,0.8783333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,400,24533,0.021965,0.9994107616448886,0.9584285714285714,0.9996200235898173,23520000.0,0.002451149979606271,0.02160215564072132,0.8933333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,700,24533,0.02227,0.9999788653736791,0.9938571428571429,0.9999926324384146,23520000.0,0.00026784054352901876,0.002360497135668993,0.8883333333333333
image_noisy,mnist_noisy_reproduction,image,noisy,rp,10,24529,0.002559,0.4048217447058113,0.11257142857142859,0.412328167391306,23520000.0,9.788552284240723,80.67208862304688,0.40166666666666667
image_noisy,mnist_noisy_reproduction,image,noisy,rp,25,24529,0.002058,0.5840205702512856,0.261,0.5287142087357782,58800000.0,3.532874345779419,29.1160888671875,0.6216666666666667
image_noisy,mnist_noisy_reproduction,image,noisy,rp,50,24529,0.002738,0.6997051126838739,0.3914285714285714,0.6478796961063424,117600000.0,1.8552380800247192,15.289895057678223,0.7316666666666667
image_noisy,mnist_noisy_reproduction,image,noisy,rp,100,24529,0.003944,0.827817198734401,0.5319999999999999,0.8029602979738496,235200000.0,0.8547948598861694,7.044768810272217,0.7616666666666667
image_noisy,mnist_noisy_reproduction,image,noisy,rp,200,24529,0.006497,0.8904828418810452,0.6448571428571428,0.8789699077830704,470400000.0,0.49631479382514954,4.090364933013916,0.8133333333333334
image_noisy,mnist_noisy_reproduction,image,noisy,rp,400,24529,0.011131,0.9413796173752331,0.7438571428571429,0.9296745330781747,940800000.0,0.23409853875637054,1.929316759109497,0.86
image_noisy,mnist_noisy_reproduction,image,noisy,rp,700,24529,0.01826,0.968645587684746,0.7982857142857143,0.9559039808174999,1646400000.0,0.13577669858932495,1.11899995803833,0.8483333333333334
